#SampleID,physical_specimen_remaining,qiita_study_id,env_biome,env_feature,sample_type,longitude,latitude,description
864.8.CON.addV.noG.noW.A.lane2.NoIndex,TRUE,864,montane grassland biome,steppe soil,soil,100.772,51.024,"block eight-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 8.CON.addV.noG.noW.A"
11116.L15A101.1196576,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L16A077
12201.soil.bare.L.2.pro.H,TRUE,12201,urban biome,plant-associated habitat,soil,-117.25,32.5,A horizon soil collected from the south side of the path about 40 m west of the entrance to the Scripps Coastal Reserve Biodiversity Trail; no woody plants within 20 m
1579.WM.2.30,TRUE,1579,tropical shrubland biome,volcano,soil,-155.774,20.122,soil elevation 1104m
11116.L24A064.1197283,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A17B097
11116.L28A080.1196875,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L26A097
11116.A29B091.1197873,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample L15A102
10156.T6.2,TRUE,10156,freshwater biome,freshwater wetland,wetland soil,70.571881,41.906767,wetland soil sample  T6.2
1674.McG.F110714Jr1R1,TRUE,1674,urban biome,garden soil,soil,-73.94,40.826,NYC green roofs soil in Manhattan
990.KA3U.B.24,TRUE,990,urban biome,field soil,Soil,-88.230357,41.840719,Block_3_Unfertilized_station_B_position_24 KA3U.B.24
14989.soil.face.CMU.17.04.2017.03.day16,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.face.CMU.17.04.2017.03.day16
11116.A15C103.1197053,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I19A090
1579.E.2.15,TRUE,1579,tropical shrubland biome,volcano,soil,-155.805,20.098,soil elevation 674m
11116.I24A095.1196837,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L14A078
11116.I24A105.1196101,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L14A087
11116.L02A068.1196861,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I06A119
1721.B25M,TRUE,1721,cropland biome,cultivated habitat,Soil,153.417,-28.833,barley soil sample B25M
11116.A29B100.1197211,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample L15A105
2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences,TRUE,2382,cropland biome,vineyard,roots,-75.45012,41.06272,Roots
755.LSSF.DELTA.D15.14.07.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-4.284,55.873,samples of sand from labscale_slow_sand filter with dirty sand: water purification system
14989.soil.ctrl.SHSU.2016.024.2016.04.27.day13,FALSE,14989,dense settlement biome,research facility,soil,-95.476,30.745,11271.soil.ctrl.SHSU.2016.024.2016.04.27.day13
619.AK.19.16a,FALSE,619,shrubland biome,taiga,soil,-147.5025806,65.15401389,soil core
14989.soil.face.UTK.K016.02.2016.04.28.day16,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.face.UTK.K016.02.2016.04.28.day16
2104.CP722,FALSE,2104,urban biome,park,soil,-73.95327,40.79226,soil
11116.L15A080.1193699,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L9.16
1642.MS00266,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil Nipponbare MS00266
10141.D.skin.head.T7.2,TRUE,10141,urban biome,animal-associated habitat,skin,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
10156.1T1,TRUE,10156,freshwater biome,freshwater wetland,wetland soil,-76.8585361,42.9280667,wetland soil sample  1T1
2223.338R.BC0012,FALSE,2223,temperate coniferous forest biome,forest soil,soil,105.391,40.039,01_2011_burned_18
1030.TVF.2004.Loc4.D0.Rep4,TRUE,1030,forest biome,forest soil,soil,-145.64,64.35,Tanana Valley Forest Fire year 2004 Organic layer Location04 Replicate04
2382.SH008.C6.HA.4.745.gp.9.12.lane8.NoIndex.L008.sequences,TRUE,2382,cropland biome,vineyard,grapes,-72.5285,41.01446,Grapes
